danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo
0.668,Eslabon Armado,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,5,0.758,0.483,165671,-5.176,0.0332,147.989
0.569,Grupo Frontera,6pD0ufEQq0xdHSsRbg9LBK,un x100to,6,0.724,0.228,194563,-4.076,0.0474,83.118
0.558,Junior H,1haJsMtoBhHfvuM7XWuT3W,El Azul,9,0.648,0.226,187226,-7.081,0.055,143.876
0.812,Yng Lvcas,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,2,0.479,0.213,234353,-5.678,0.333,169.922
0.784,Peso Pluma,2mpoNBkngUEwnaKoBhZ0vl,PRC,7,0.826,0.0965,184066,-6.34,0.0538,138.078
0.772,Natanael Cano,1lRtH4FszTrwwlK5gTSbXO,AMG,11,0.73,0.152,174943,-6.657,0.0972,136.175
0.807,Peso Pluma,2VzCjpKvPB1l1tqLndtAQa,Por las Noches,0,0.595,0.31,239845,-7.19,0.0325,92.491
0.699,Oscar Maydon,6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,0,0.541,0.0628,224921,-4.943,0.0826,98.395
0.736,Chino Pacas,3kf0WdFOalKWBkCCLJo4mA,El Gordo Trae El Mando,7,0.8,0.179,112087,-5.38,0.0525,140.253
0.852,Becky G,5RcxRGvmYai7kpFSfxe5GY,Chanel,2,0.675,0.397,201993,-5.738,0.0363,132.005
0.628,Fuerza Regida,0UbesRsX2TtiCeamOIVEkp,Ch y la Pizza,8,0.668,0.329,136913,-2.722,0.117,148.746
0.605,Yahritza Y Su Esencia,4JdSXF2p71cr8uCY3UiJM0,Frágil,6,0.726,0.365,160518,-4.515,0.0309,149.918
0.491,Carin Leon,6Um358vY92UBv5DloTRX9L,Que Vuelvas,10,0.643,0.187,169419,-4.309,0.0442,162.469
0.72,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,TQG,4,0.63,0.673,199440,-3.547,0.277,179.974
0.928,Cartel De Santa,55ZATsjPlTeSTNJOuW90pW,Shorty Party,2,0.468,0.328,265000,-8.196,0.364,96.006
0.777,Peso Pluma,7Lkxvfl2rkNYWS4kBDCQtN,Las Morras,9,0.841,0.312,155173,-4.641,0.0407,133.007
0.703,Eden Muñoz,0qCPD6ilr9nXkI4KVZgcns,Abcdario,8,0.429,0.783,220650,-9.076,0.0308,129.034
0.718,Natanael Cano,3IMuuBcKSeFqQSlF2XluA1,Pacas De Billetes,7,0.726,0.0889,188075,-5.91,0.0403,142.986
0.529,Fuerza Regida,0IKeDy5bT9G0bA7ZixRT4A,Bebe Dame,7,0.602,0.299,271862,-4.629,0.0458,157.643
0.702,Peso Pluma,4LreWoO3cpgiIfrRwbOUSF,Rosa Pastel,7,0.68,0.24,204253,-5.451,0.0373,122.895
0.662,Junior H,1piak4R3yW4otWWyaSqyCH,El Tsurito,8,0.801,0.256,194519,-6.397,0.0859,114.922
0.859,Feid,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,11,0.658,0.145,195987,-4.79,0.159,100.065
0.702,El Chachito,1Fuc3pBiPFxAeSJoO8tDh5,En Paris,3,0.483,0.366,162795,-7.99,0.0524,138.842
0.748,Shakira,7txjUEY6McJDJKqIo1Rxjp,Acróstico,11,0.478,0.837,170786,-8.886,0.121,143.866
0.758,Fuerza Regida,17js0w8GTkTUFGFM6PYvBd,Igualito a Mi Apá,4,0.812,0.188,166821,-3.272,0.0854,144.908
0.698,Eslabon Armado,6X5WZbJzXtk6aO03HlxuZ9,Así Lo Quiso Dios,8,0.664,0.302,205300,-4.027,0.0406,144.981
0.664,Ovy On The Drums,1mF6RkY7x1KsDBZS6cV5f1,EL HECHIZO,2,0.529,0.539,167988,-6.149,0.0392,148.12
0.783,Yandel,4FAKtPVycI4DxoOHC01YqD,Yandel 150,6,0.729,0.0492,216148,-3.549,0.0691,167.968
0.571,Junior H,1RGlfmdvcfatN0ZLOmzanS,El Hijo Mayor,8,0.567,0.431,196500,-6.873,0.0994,165.332
0.768,ROSALÍA,609E1JCInJncactoMmkDon,BESO,5,0.644,0.736,194543,-6.671,0.136,95.05
0.645,Oscar Maydon,46FdwGMcgz6gik4RCpWBAW,Los Collares,1,0.712,0.208,148793,-5.787,0.188,136.724
0.778,Bizarrap,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",2,0.632,0.274,218289,-5.6,0.0493,122.104
0.812,Kenia OS,6Xj014IHwbLVjiVT6H89on,Malas Decisiones,8,0.791,0.0474,139146,-3.704,0.0279,109.969
0.724,Luis R Conriquez,4ygQ5wSuzzNRevVjup1qV2,El Gavilán,11,0.684,0.144,175296,-4.413,0.0705,144.117
0.703,Chino Pacas,7dR09k1an5JEq7ch0Y5hvV,Dijeron Que No La Iba Lograr,7,0.791,0.255,113020,-6.792,0.0657,142.219
0.571,Grupo Marca Registrada,0pliiCOWPN0IId8sXAqNJr,Di Que Sí,9,0.584,0.0738,190554,-5.38,0.0501,182.317
0.774,Peso Pluma,3gfSH9aYZbyGjdmbeoWliw,Siempre Pendientes,0,0.748,0.331,186828,-7.086,0.0352,135.929
0.675,Junior H,24teIhDYO2RocTA2v5dY0r,Extssy Model,4,0.725,0.0839,240654,-4.766,0.0334,92.513
0.835,Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,7,0.679,0.583,162638,-5.329,0.0364,124.98
0.647,Bad Bunny,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,3,0.686,0.08,258299,-5.745,0.0413,79.928
0.683,Eladio Carrion,0PB0O24JqAuNdOAFVJljMS,Coco Chanel,2,0.764,0.0427,160325,-5.995,0.0441,149.949
0.732,Yuridia,4H6o1bxKRGzmsE0vzo968m,Qué Agonía,11,0.573,0.56,152923,-5.733,0.0237,97.502
0.594,Grupo Frontera,23Lyy7ZXRvzfgH4JtDkKrX,No Se Va - En Vivo,0,0.527,0.121,194019,-9.335,0.0335,172.712
0.484,Peso Pluma,7y2KhPccpkgRSMa3GDXjQq,77,2,0.746,0.126,215745,-5.191,0.0528,130.149
0.523,KAROL G,6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,0,0.477,0.855,164387,-6.786,0.392,79.921
0.901,Ozuna,1zsPaEkglFvxjAhrM8yhpr,Hey Mor,1,0.589,0.00302,196600,-6.713,0.289,98.002
0.911,Bad Bunny,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,1,0.712,0.0901,178567,-5.105,0.0817,92.005
0.497,Grupo Firme,3upTB6o5YgeALHgDp3mzte,Qué Onda Perdida,2,0.501,0.305,239637,-4.141,0.03,109.732
0.775,Marshmello,51FvjPEGKq2zByeeEQ43V9,El Merengue,8,0.677,0.0313,189357,-4.703,0.0442,124.011
0.887,Arcángel,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,9,0.234,0.111,196800,-14.52,0.178,140.02
